service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Deploy Back-End (App Engine),Frontend Instances Jakarta,1.0,asia-southeast2,F17B-412E-CB64,2EC9-5583-ECA8,0,
Deploy Back-End (App Engine),Out Bandwidth Jakarta,1.0,asia-southeast2,F17B-412E-CB64,8CC4-DAE0-9C1F,0,
Firestore (Database) (Filestore),Filestore Capacity Basic SSD (Premium) Jakarta,3.0,asia-southeast2,D97E-AB26-5D95,9257-6DB7-2675,1105.92,
Firestore (Database) (Filestore),Filestore Capacity Basic HDD (Standard) Jakarta,1024.0,asia-southeast2,D97E-AB26-5D95,D0C4-A7AF-FCE8,194.56,
,Filestore Capacity Zonal and High Scale Jakarta,0.0,asia-southeast2,D97E-AB26-5D95,8F6B-6560-83D3,0,
,Filestore Capacity Zonal and High Scale Jakarta,0.0,asia-southeast2,D97E-AB26-5D95,8F6B-6560-83D3,0,
,Filestore Capacity Regional and Enterprise Jakarta,0.0,asia-southeast2,D97E-AB26-5D95,5DE6-0A94-4CB7,0,
,Filestore Backup Usage Jakarta,0.0,asia-southeast2,D97E-AB26-5D95,BB5E-DFE7-EB5D,0,
Cloud Storage (Bucket) (Cloud Storage),Standard Storage Jakarta,5000.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,115,
,,,,,,,
,,,,,Total Price:,1415.48,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-10T19:05:32.125Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJsWW1SaFpERTNaUzB5TWprNExUUXhNR1l0T0dVMlpDMWlNVGxqWXpsbFlUazJOR0VRQVE9PRokQzc0QzAwRDYtOTZGRC00NDZFLTlFRDQtNjRCMTU4NzM5NjJD,,,,,,